name,estimated_data_size (eds in bytes),eds/L1_cache,eds/L2_cache,eds/L3_cache,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_TLB_DM,PAPI_BR_TKN,PAPI_BR_MSP,PAPI_L2_DCA,PAPI_L2_TCA,Runtime (secs)
adi_N128_300,2160000,65.917969,8.239746,0.082397,17902058,1499129,3435023,1501335,292,46079757,155003,3346555,3360264,0.384098
adi_N128_400,3840000,117.187500,14.648438,0.146484,30746232,2423422,6615628,2427144,4590,81919757,206019,5278726,5283359,1.476631
adi_N128_512,6291456,192.000000,24.000000,0.240000,53954509,3135344,11618749,3117374,520983,134217485,263462,9117259,9786901,1.096558
adi_N128_600,8640000,263.671875,32.958984,0.329590,75435899,4836517,11097814,4880019,453037,184319757,308594,10625085,50520504,1.501823
adi_N128_700,11760000,358.886719,44.860840,0.448608,104259661,5900073,16723026,5915266,566985,250879757,359831,16672678,15785986,2.032549
adi_N128_800,15360000,468.750000,58.593750,0.585938,130393463,6058518,15302337,6129244,163674,327679757,410809,15294803,15265963,4.061420
adi_N128_900,19440000,593.261719,74.157715,0.741577,168146803,7936467,20555380,7938534,305402,414719757,462364,15154192,11683942,3.398779
adi_N128_1024,25165824,768.000000,96.000000,0.960000,228779238,10278868,60173837,10305205,448091,536870669,517669,54940510,56858771,4.486404
adi_N256_8,1536,0.046875,0.005859,0.000059,101,32,195,116,2,65037,5,122,172,0.000442
adi_N256_16,6144,0.187500,0.023438,0.000234,240,65,277,150,3,261645,1035,131,272,0.001931
adi_N256_32,24576,0.750000,0.093750,0.000937,5805,97,4537,173,4,1048077,2662,4732,3620,0.008065
adi_N256_64,98304,3.000000,0.375000,0.003750,1395449,367,198063,495,4,4193805,19846,196672,197246,0.032223
adi_N256_128,393216,12.000000,1.500000,0.015000,6389569,789070,972192,779972,59,16776717,132328,967129,967942,0.135437
adi_N256_256,1572864,48.000000,6.000000,0.060000,25160784,3315461,2787918,3272356,225,67108365,264513,2789947,2789486,0.536566
adi_N256_300,2160000,65.917969,8.239746,0.082397,35976510,3018703,7948056,3016811,341,92159501,309996,7944266,7861357,0.740119
adi_N256_400,3840000,117.187500,14.648438,0.146484,62799197,4920365,12290599,4923999,29462,163839501,411983,12381881,9895293,1.932163
adi_N256_512,6291456,192.000000,24.000000,0.240000,108871920,6421653,23156024,6433096,1042029,268434957,509510,21614869,21017808,2.149716
adi_N256_600,8640000,263.671875,32.958984,0.329590,150963376,10791206,21916945,10657001,1069274,368639501,617451,58510704,58428763,2.971568
adi_N256_700,11760000,358.886719,44.860840,0.448608,209359364,12160548,34556754,12287783,977725,501759501,719561,34597109,34628928,3.976413
adi_N256_800,15360000,468.750000,58.593750,0.585938,262717402,12285819,47448687,11955484,3567,655359501,821661,36294616,28184252,7.831688
adi_N256_900,19440000,593.261719,74.157715,0.741577,342169623,15894287,29770804,14437732,29,829439501,924402,23899600,23657703,6.641819
adi_N256_1024,25165824,768.000000,96.000000,0.960000,464371593,19790264,118987477,19815920,41264,1073741325,1051231,116637930,113207194,8.685416
adi_N300_8,1536,0.046875,0.005859,0.000059,136,32,198,99,3,76213,20,89,207,0.000520
adi_N300_16,6144,0.187500,0.023438,0.000234,240,51,248,125,3,306613,1209,145,282,0.002263
adi_N300_32,24576,0.750000,0.093750,0.000937,5800,97,3525,165,4,1228213,2791,4246,2281,0.009342
adi_N300_64,98304,3.000000,0.375000,0.003750,1639046,441,220780,522,4,4914613,23488,220184,220290,0.037497
adi_N300_128,393216,12.000000,1.500000,0.015000,7670093,918650,909855,920854,47,19660213,156812,905111,915414,0.157024
adi_N300_256,1572864,48.000000,6.000000,0.060000,30271734,3796185,3910019,3803825,216,78642613,309622,3698009,3705129,0.637580
adi_N300_300,2160000,65.917969,8.239746,0.082397,42142471,3583937,9229087,3602912,3201,107999413,363214,8134305,9676699,0.877756
adi_N300_400,3840000,117.187500,14.648438,0.146484,72350097,5797724,14942296,5788642,38579,191999413,482841,12140418,14831579,2.252277
adi_N300_512,6291456,192.000000,24.000000,0.240000,128920466,7247572,27071747,7304783,1214402,314572213,616925,22156335,22252503,2.472657
adi_N300_600,8640000,263.671875,32.958984,0.329590,177383098,11564964,25210465,11575948,1047083,431999413,723258,36616496,73967151,3.441775
adi_N300_700,11760000,358.886719,44.860840,0.448608,245536602,11192921,31291898,10453813,25,587999413,843684,31394987,33744660,4.652507
adi_N300_800,15360000,468.750000,58.593750,0.585938,309526986,16343210,136115969,14985843,3243,767999413,963077,33309587,33806108,9.264932
adi_N300_900,19440000,593.261719,74.157715,0.741577,405196316,18363695,59079897,16905429,75,971999413,1083447,27934537,28326967,7.711920
adi_N300_1024,25165824,768.000000,96.000000,0.960000,555482129,23322010,138019952,22851452,27,1258290613,1231855,129424948,135872434,10.021169
adi_N400_8,1536,0.046875,0.005859,0.000059,108,32,188,106,2,101613,18,119,190,0.000695
adi_N400_16,6144,0.187500,0.023438,0.000234,225,50,246,127,3,408813,1618,162,283,0.003014
adi_N400_32,24576,0.750000,0.093750,0.000937,8082,121,4036,167,4,1637613,4116,1344,687,0.012196
adi_N400_64,98304,3.000000,0.375000,0.003750,2171031,2789,399822,3509,4,6552813,30945,399510,399751,0.049047
adi_N400_128,393216,12.000000,1.500000,0.015000,9607580,1114245,2152218,1113139,47,26213613,209205,1428842,1434159,0.212809
adi_N400_256,1572864,48.000000,6.000000,0.060000,41811632,5074555,7651312,5104336,2514,104856813,413562,7449991,4348837,0.843525
adi_N400_300,2160000,65.917969,8.239746,0.082397,57034835,4705050,11276536,4718355,305,143999213,484332,11234685,11238110,1.161447
adi_N400_400,3840000,117.187500,14.648438,0.146484,96876823,7650548,19606466,7667731,37253,255999213,643607,15806069,19547361,3.057625
adi_N400_512,6291456,192.000000,24.000000,0.240000,172345578,9769232,34043031,9826941,1630523,419429613,801684,34973599,30789155,3.320360
adi_N400_600,8640000,263.671875,32.958984,0.329590,236110812,17392770,35277605,17172339,1657315,575999213,964818,35280133,34025600,4.557216
adi_N400_700,11760000,358.886719,44.860840,0.448608,326677185,15343045,48032014,12267792,43,783999213,1124112,45238827,45055005,6.118857
adi_N400_800,15360000,468.750000,58.593750,0.585938,407240717,21270419,78078601,19566149,52,1023999213,1284049,45004839,63448305,12.177470
adi_N400_900,19440000,593.261719,74.157715,0.741577,531049462,23989572,45524442,23865315,497434,1295999213,1446385,67973757,34834948,10.240591
adi_N400_1024,25165824,768.000000,96.000000,0.960000,707449349,31532602,360151201,31594701,3202,1677720813,1642107,184525468,177530828,13.437909
adi_N512_8,1536,0.046875,0.005859,0.000059,149,36,239,113,3,130061,15,123,231,0.000897
adi_N512_16,6144,0.187500,0.023438,0.000234,235,57,276,136,4,523277,2058,149,253,0.003812
adi_N512_32,24576,0.750000,0.093750,0.000937,6380,100,5231,183,4,2096141,5490,5232,6835,0.015406
adi_N512_64,98304,3.000000,0.375000,0.003750,2763880,1759,389077,2160,4,8387597,39845,389099,389818,0.062949
adi_N512_128,393216,12.000000,1.500000,0.015000,13115730,1561410,2316208,1560826,54,33553421,264601,2647676,2281276,0.263225
adi_N512_256,1572864,48.000000,6.000000,0.060000,50405458,6502906,10142968,6423336,209,134216717,522395,9958376,9991001,1.038624
adi_N512_300,2160000,65.917969,8.239746,0.082397,72877468,6082609,13439055,6071773,3630,184318989,620569,16378368,13635941,1.427129
adi_N512_400,3840000,117.187500,14.648438,0.146484,124493335,9830497,24909429,9831415,39181,327678989,824063,20056244,24908454,3.863159
adi_N512_512,6291456,192.000000,24.000000,0.240000,218524760,12042826,41746251,12053720,2073585,536869901,1021687,41685283,42219082,4.228229
adi_N512_600,8640000,263.671875,32.958984,0.329590,302162614,21498306,63300608,17419315,3367,737278989,1234618,122101254,122024168,5.742274
adi_N512_700,11760000,358.886719,44.860840,0.448608,419331268,22132766,61409163,20348343,1679,1003518989,1440171,57122911,57334924,7.870571
adi_N512_800,15360000,468.750000,58.593750,0.585938,520360755,26843626,57518392,24346355,4368,1310718989,1643530,57387546,57454105,15.374333
adi_N512_900,19440000,593.261719,74.157715,0.741577,692272007,31796158,104799320,28602966,4199,1658878989,1849214,51729781,96152333,13.159176
adi_N512_1024,25165824,768.000000,96.000000,0.960000,935336304,39806909,224966924,39934550,2986,2147482637,2102577,243606333,234071087,17.002908
adi_N600_8,1536,0.046875,0.005859,0.000059,133,36,230,112,3,152413,6,119,234,0.001041
adi_N600_16,6144,0.187500,0.023438,0.000234,239,50,258,127,3,613213,2413,135,231,0.004421
adi_N600_32,24576,0.750000,0.093750,0.000937,3213,100,5411,189,5,2456413,6312,7505,6042,0.017957
adi_N600_64,98304,3.000000,0.375000,0.003750,3278735,1118,472310,1662,6,9829213,46010,472079,471763,0.072960
adi_N600_128,393216,12.000000,1.500000,0.015000,15283139,1741548,2429989,1742696,62,39320413,311837,1829046,2893251,0.309534
adi_N600_256,1572864,48.000000,6.000000,0.060000,62577066,7653865,12281574,7626705,2431,157285213,620349,9785634,12283702,1.228572
adi_N600_300,2160000,65.917969,8.239746,0.082397,84646323,7115574,18510200,7120130,317,215998813,726596,15543479,15518990,1.672296
adi_N600_400,3840000,117.187500,14.648438,0.146484,147230966,11615971,29833333,11654704,40959,383998813,965322,30179081,30090486,4.547225
adi_N600_512,6291456,192.000000,24.000000,0.240000,259332588,15049845,50964434,14993378,2423205,629144413,1234734,54248990,76692170,4.975497
adi_N600_600,8640000,263.671875,32.958984,0.329590,354161644,29024044,51698554,29027442,2097420,863998813,1445817,51640723,57956186,6.778399
adi_N600_700,11760000,358.886719,44.860840,0.448608,489299646,23882165,75938625,23881366,3793,1175998813,1687036,75942540,72417754,9.295218
